Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Gui Santos,GSW,LAL,W,2.6466666666666665,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,2025-10-21
Alex Caruso,OKC,HOU,W,30.18,3,9,0.333,2,6,0.333,0,0,0.0,0,2,2,3,2,1,0,2,8,7.499999999999999,2025-10-21
Isaiah Hartenstein,OKC,HOU,W,36.84166666666667,2,5,0.4,0,1,0.0,2,2,1.0,5,3,8,5,2,0,1,6,6,9.799999999999999,2025-10-21
Buddy Hield,GSW,LAL,W,22.25,6,11,0.545,5,10,0.5,0,0,0.0,0,1,1,0,1,0,2,0,17,11.0,2025-10-21
Ajay Mitchell,OKC,HOU,W,14.595,6,12,0.5,3,6,0.5,1,1,1.0,1,1,2,2,0,1,0,2,16,12.299999999999999,2025-10-21
Jabari Smith Jr.,HOU,OKC,L,41.75,7,15,0.467,2,6,0.333,0,0,0.0,3,2,5,0,1,0,0,4,16,10.4,2025-10-21
Amen Thompson,HOU,OKC,L,38.60666666666667,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,11.3,2025-10-21
Draymond Green,GSW,LAL,W,28.403333333333332,3,6,0.5,1,3,0.333,1,3,0.333,1,6,7,9,1,2,4,5,8,9.4,2025-10-21
Kevin Durant,HOU,OKC,L,47.05,9,16,0.563,0,4,0.0,5,6,0.833,0,9,9,3,0,0,4,6,23,13.400000000000006,2025-10-21
Cason Wallace,OKC,HOU,W,41.65,5,10,0.5,3,8,0.375,1,2,0.5,1,6,7,5,4,0,2,3,14,15.399999999999999,2025-10-21
Jonathan Kuminga,GSW,LAL,W,32.903333333333336,6,11,0.545,4,6,0.667,1,2,0.5,3,6,9,6,1,0,2,3,17,17.2,2025-10-21
Chet Holmgren,OKC,HOU,W,38.498333333333335,11,17,0.647,2,5,0.4,4,4,1.0,2,5,7,2,0,0,3,6,28,19.4,2025-10-21
Stephen Curry,GSW,LAL,W,32.06666666666667,6,14,0.429,3,9,0.333,8,8,1.0,0,1,1,4,3,1,2,3,23,19.2,2025-10-21
Jimmy Butler III,GSW,LAL,W,34.733333333333334,7,14,0.5,1,2,0.5,16,16,1.0,2,3,5,4,1,0,1,4,31,27.499999999999996,2025-10-21
Austin Reaves,LAL,GSW,L,36.333333333333336,9,16,0.563,1,5,0.2,7,10,0.7,1,4,5,9,2,0,5,5,26,20.400000000000002,2025-10-21
Shai Gilgeous-Alexander,OKC,HOU,W,47.21666666666667,12,26,0.462,1,9,0.111,10,14,0.714,0,5,5,5,2,2,3,2,35,24.599999999999994,2025-10-21
Alperen Sengun,HOU,OKC,L,48.89,12,24,0.5,5,8,0.625,10,11,0.909,4,7,11,7,2,1,4,5,39,33.1,2025-10-21
Luka Dončić,LAL,GSW,L,40.983333333333334,17,27,0.63,2,10,0.2,7,10,0.7,0,12,12,9,2,1,3,1,43,38.9,2025-10-21
Reed Sheppard,HOU,OKC,L,27.775,3,11,0.273,2,7,0.286,1,2,0.5,1,1,2,4,1,1,2,1,9,5.199999999999999,2025-10-21
Steven Adams,HOU,OKC,L,36.50666666666667,1,4,0.25,0,0,0.0,2,2,1.0,5,8,13,3,0,0,3,4,4,5.0,2025-10-21
Brooks Barnhizer,OKC,HOU,W,2.256666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21
Brandin Podziemski,GSW,LAL,W,32.53,3,7,0.429,1,4,0.25,0,0,0.0,1,6,7,2,1,0,1,2,7,6.3999999999999995,2025-10-21
Luguentz Dort,OKC,HOU,W,45.251666666666665,2,12,0.167,0,8,0.0,2,2,1.0,2,4,6,5,1,0,1,4,6,2.900000000000001,2025-10-21
Chris Youngblood,OKC,HOU,W,0.09333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21
Jarred Vanderbilt,LAL,GSW,L,11.933333333333334,0,4,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,2,0,0,-2.9,2025-10-21
Jaylin Williams,OKC,HOU,W,12.883333333333333,1,5,0.2,0,4,0.0,0,0,0.0,0,0,0,1,1,0,0,1,2,0.19999999999999984,2025-10-21
Clint Capela,HOU,OKC,L,7.86,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,0,4,3.7,2025-10-21
Gabe Vincent,LAL,GSW,L,28.733333333333334,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0,1,1,0,0,3,3,1.0999999999999996,2025-10-21
Jake LaRavia,LAL,GSW,L,15.833333333333334,2,4,0.5,1,2,0.5,0,2,0.0,2,1,3,0,0,0,0,1,5,3.5,2025-10-21
Will Richard,GSW,LAL,W,13.583333333333334,2,2,1.0,1,1,1.0,0,0,0.0,1,0,1,1,1,0,0,2,5,6.000000000000001,2025-10-21
Quinten Post,GSW,LAL,W,8.566666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,0.8999999999999998,2025-10-21
Jaxson Hayes,LAL,GSW,L,14.116666666666667,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,2,4,4.2,2025-10-21
Tari Eason,HOU,OKC,L,21.598333333333333,1,6,0.167,1,4,0.25,0,0,0.0,0,6,6,0,0,1,4,1,3,-2.6999999999999997,2025-10-21
Al Horford,GSW,LAL,W,20.246666666666666,2,7,0.286,1,4,0.25,0,0,0.0,0,5,5,1,0,0,2,4,5,-0.49999999999999956,2025-10-21
Gary Payton II,GSW,LAL,W,12.07,3,6,0.5,0,1,0.0,0,0,0.0,1,1,2,1,1,1,3,3,6,2.200000000000001,2025-10-21
Aaron Wiggins,OKC,HOU,W,20.533333333333335,4,8,0.5,2,5,0.4,0,0,0.0,0,1,1,1,0,0,1,1,10,5.6,2025-10-21
Josh Okogie,HOU,OKC,L,19.963333333333335,1,3,0.333,1,3,0.333,5,6,0.833,1,1,2,1,0,1,0,2,8,7.500000000000001,2025-10-21
