player,prop,prop_display,direction,line_model,prediction,edge,strength,timestamp,tm,line_vegas,over_odds,under_odds,vegas_line,model_line,real_edge,real_direction,real_edge_abs,bet_odds
Buddy Hield,pra,Pts+Reb+Ast,UNDER,7.7,5.7,2.0,MODERATE,2026-01-19T17:44:39.351090,GSW,14.0,-105,-114,14.0,7.7,-8.3,UNDER,8.3,-114
Brandin Podziemski,pra,Pts+Reb+Ast,UNDER,16.9,14.3,2.599999999999998,MODERATE,2026-01-19T17:44:39.350411,GSW,22.1,110,160,22.1,16.9,-7.800000000000001,UNDER,7.800000000000001,160
Andre Drummond,pra,Pts+Reb+Ast,UNDER,14.6,11.1,3.5,STRONG,2026-01-19T17:44:39.348862,PHI,16.5,-105,-125,16.5,14.6,-5.4,UNDER,5.4,-125
Andre Drummond,pr,Pts+Reb,UNDER,13.8,10.5,3.3000000000000007,STRONG,2026-01-19T17:44:39.348868,PHI,15.5,-115,-118,15.5,13.8,-5.0,UNDER,5.0,-118
Simone Fontecchio,pra,Pts+Reb+Ast,OVER,5.7,8.0,2.3,MODERATE,2026-01-19T17:44:39.372484,MIA,12.5,100,-135,12.5,5.7,-4.5,UNDER,4.5,-135
Will Richard,pra,Pts+Reb+Ast,OVER,7.6,10.3,2.700000000000001,MODERATE,2026-01-19T17:44:39.375158,GSW,14.2,-102,-105,14.2,7.6,-3.8999999999999986,UNDER,3.8999999999999986,-105
Norman Powell,pra,Pts+Reb+Ast,UNDER,30.4,26.8,3.599999999999998,STRONG,2026-01-19T17:44:39.369358,MIA,30.5,120,125,30.5,30.4,-3.6999999999999993,UNDER,3.6999999999999993,125
De'Anthony Melton,pra,Pts+Reb+Ast,UNDER,18.1,15.3,2.8000000000000007,MODERATE,2026-01-19T17:44:39.353854,GSW,18.5,-115,-115,18.5,18.1,-3.1999999999999993,UNDER,3.1999999999999993,-115
Norman Powell,pa,Pts+Ast,UNDER,27.1,23.5,3.6000000000000014,STRONG,2026-01-19T17:44:39.369372,MIA,26.5,-105,120,26.5,27.1,-3.0,UNDER,3.0,120
Norman Powell,pts,Points,UNDER,24.4,21.2,3.2,STRONG,2026-01-19T17:44:39.369342,MIA,24.0,210,180,24.0,24.4,-2.8000000000000007,UNDER,2.8000000000000007,180
Norman Powell,pr,Pts+Reb,UNDER,27.7,24.9,2.8000000000000007,MODERATE,2026-01-19T17:44:39.369366,MIA,27.5,105,105,27.5,27.7,-2.6000000000000014,UNDER,2.6000000000000014,105
Stephen Curry,pra,Pts+Reb+Ast,OVER,36.6,41.0,4.399999999999999,STRONG,2026-01-19T17:44:39.372664,GSW,38.4,105,135,38.4,36.6,2.6000000000000014,OVER,2.6000000000000014,105
Tyrese Maxey,pra,Pts+Reb+Ast,OVER,39.5,41.8,2.299999999999997,MODERATE,2026-01-19T17:44:39.374530,PHI,39.3,110,135,39.3,39.5,2.5,OVER,2.5,110
Bam Adebayo,pts,Points,OVER,13.8,16.0,2.2,MODERATE,2026-01-19T17:44:39.349733,MIA,18.3,175,170,18.3,13.8,-2.3000000000000007,UNDER,2.3000000000000007,170
De'Anthony Melton,pr,Pts+Reb,UNDER,16.5,12.6,3.9,STRONG,2026-01-19T17:44:39.353860,GSW,14.5,-105,135,14.5,16.5,-1.9000000000000004,UNDER,1.9000000000000004,135
De'Anthony Melton,pts,Points,UNDER,13.0,10.2,2.8000000000000007,MODERATE,2026-01-19T17:44:39.353838,GSW,12.0,175,175,12.0,13.0,-1.8000000000000007,UNDER,1.8000000000000007,175
Simone Fontecchio,pts,Points,OVER,3.5,5.6,2.1,MODERATE,2026-01-19T17:44:39.372468,MIA,7.3,102,100,7.3,3.5,-1.7000000000000002,UNDER,1.7000000000000002,100
Bam Adebayo,pr,Pts+Reb,OVER,23.6,27.0,3.3999999999999986,STRONG,2026-01-19T17:44:39.349753,MIA,28.2,-108,120,28.2,23.6,-1.1999999999999993,UNDER,1.1999999999999993,120
Stephen Curry,pr,Pts+Reb,OVER,30.2,32.7,2.500000000000004,MODERATE,2026-01-19T17:44:39.372671,GSW,32.3,-102,115,32.3,30.2,0.4000000000000057,OVER,0.4000000000000057,-102
Davion Mitchell,pr,Pts+Reb,OVER,8.8,11.7,2.8999999999999986,MODERATE,2026-01-19T17:44:39.353608,MIA,11.5,115,120,11.5,8.8,0.1999999999999993,OVER,0.1999999999999993,115
