game_date,top_1_picks,top_1_wins,top_1_losses,top_1_pushes,top_1_hit_rate,top_3_picks,top_3_wins,top_3_losses,top_3_pushes,top_3_hit_rate,top_5_picks,top_5_wins,top_5_losses,top_5_pushes,top_5_hit_rate,top_10_picks,top_10_wins,top_10_losses,top_10_pushes,top_10_hit_rate
2026-03-02,1,1,0,0,1.0,3,2,1,0,0.6667,0,0,0,0,,0,0,0,0,
2026-03-03,1,1,0,0,1.0,3,2,1,0,0.6667,5,4,1,0,0.8,10,7,3,0,0.7
2026-03-04,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,0,0,0,0,
2026-03-05,1,0,1,0,0.0,3,1,2,0,0.3333,5,3,2,0,0.6,10,6,4,0,0.6
2026-03-06,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,6,4,0,0.6
2026-03-07,1,1,0,0,1.0,0,0,0,0,,0,0,0,0,,0,0,0,0,
2026-03-08,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,8,2,0,0.8
2026-03-09,1,1,0,0,1.0,3,2,1,0,0.6667,0,0,0,0,,0,0,0,0,
2026-03-10,1,1,0,0,1.0,3,2,1,0,0.6667,5,4,1,0,0.8,10,6,4,0,0.6
2026-03-11,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,0,0,0,0,
2026-03-12,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,7,3,0,0.7
2026-03-13,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,8,2,0,0.8
2026-03-14,1,0,1,0,0.0,3,1,2,0,0.3333,5,3,2,0,0.6,0,0,0,0,
2026-03-15,1,1,0,0,1.0,0,0,0,0,,0,0,0,0,,0,0,0,0,
2026-03-16,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,7,3,0,0.7
2026-03-17,1,1,0,0,1.0,3,3,0,0,1.0,5,5,0,0,1.0,10,8,1,1,0.8889
2026-03-18,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,9,1,0,0.9
2026-03-19,1,1,0,0,1.0,3,3,0,0,1.0,5,5,0,0,1.0,10,10,0,0,1.0
2026-03-20,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,8,2,0,0.8
2026-03-21,1,1,0,0,1.0,3,2,1,0,0.6667,5,4,1,0,0.8,10,7,3,0,0.7
2026-03-22,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
2026-03-23,1,0,1,0,0.0,3,1,2,0,0.3333,5,2,3,0,0.4,10,6,4,0,0.6
2026-03-24,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
2026-03-25,1,0,1,0,0.0,3,1,2,0,0.3333,5,2,3,0,0.4,10,7,3,0,0.7
2026-03-26,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
2026-03-27,1,1,0,0,1.0,3,3,0,0,1.0,5,5,0,0,1.0,10,10,0,0,1.0
2026-03-28,1,1,0,0,1.0,3,2,1,0,0.6667,5,4,1,0,0.8,10,8,2,0,0.8
2026-03-29,1,1,0,0,1.0,3,3,0,0,1.0,5,5,0,0,1.0,10,8,2,0,0.8
2026-03-30,1,1,0,0,1.0,3,3,0,0,1.0,5,4,1,0,0.8,10,7,3,0,0.7
2026-03-31,1,1,0,0,1.0,3,3,0,0,1.0,5,5,0,0,1.0,10,10,0,0,1.0
