game_date,slip_type,wager,potential_payout,Pick_1_Player,Pick_1_Prop,Pick_1_Dir,Pick_1_Line,Pick_2_Player,Pick_2_Prop,Pick_2_Dir,Pick_2_Line,Pick_3_Player,Pick_3_Prop,Pick_3_Dir,Pick_3_Line,Pick_4_Player,Pick_4_Prop,Pick_4_Dir,Pick_4_Line,result,actual_payout
2026-03-17,2-pick Power Play,20,60,Keldon Johnson,PA,UNDER,19.5,Justin Edwards,PA,UNDER,17.0,,,,,,,,,WIN,60
2026-03-17,3-pick Power Play,20,100,Keldon Johnson,PA,UNDER,19.5,Justin Edwards,PA,UNDER,17.0,Justin Edwards,PR,UNDER,16.5,,,,,WIN,100
2026-03-17,4-pick Power Play,20,200,Keldon Johnson,PA,UNDER,19.5,Justin Edwards,PA,UNDER,17.0,Justin Edwards,PR,UNDER,16.5,Justin Edwards,PRA,UNDER,17.5,LOSS,0
2026-03-18,2-pick Power Play,20,60,Jaylin Williams,PR,UNDER,26.0,Ayo Dosunmu,PRA,UNDER,26.5,,,,,,,,,LOSS,0
2026-03-18,3-pick Power Play,20,100,Jaylin Williams,PR,UNDER,26.0,Ayo Dosunmu,PRA,UNDER,26.5,Jaylen Brown,PRA,OVER,36.5,,,,,LOSS,0
2026-03-18,4-pick Power Play,20,200,Jaylin Williams,PR,UNDER,26.0,Ayo Dosunmu,PRA,UNDER,26.5,Jaylen Brown,PRA,OVER,36.5,Julius Randle,PA,UNDER,30.5,LOSS,0
2026-03-19,2-pick Power Play,20,60,Jabari Walker,PR,UNDER,22.0,Daniss Jenkins,PRA,UNDER,22.5,,,,,,,,,WIN,60
2026-03-19,3-pick Power Play,20,100,Jabari Walker,PR,UNDER,22.0,Daniss Jenkins,PRA,UNDER,22.5,Luka Dončić,PR,UNDER,44.5,,,,,LOSS,0
2026-03-19,4-pick Power Play,20,200,Jabari Walker,PR,UNDER,22.0,Daniss Jenkins,PRA,UNDER,22.5,Luka Dončić,PR,UNDER,44.5,Bam Adebayo,PRA,OVER,32.25,LOSS,0
2026-03-20,2-pick Power Play,20,60,Julius Randle,PA,UNDER,31.5,Ayo Dosunmu,PA,UNDER,23.5,,,,,,,,,LOSS,0
