player,team,prop,direction,line,prediction,edge,confidence,l10_avg,l10_edge,ou_prob,line_move,injury_adj,teammates_out
Keldon Johnson,SAS,PA,UNDER,19.5,10.5,-9.0,86.3,10.3,-9.2,,0.0,False,
Justin Edwards,PHI,PA,UNDER,17.0,8.2,-8.8,85.9,9.2,-7.8,,0.0,False,
Justin Edwards,PHI,PR,UNDER,16.5,8.6,-7.9,84.0,9.3,-7.2,,0.0,False,
Justin Edwards,PHI,PRA,UNDER,17.5,10.4,-7.1,82.1,11.3,-6.2,,0.0,False,
Harrison Barnes,SAS,PA,UNDER,14.5,9.0,-5.5,77.5,9.7,-4.8,,0.0,False,
Harrison Barnes,SAS,PRA,UNDER,17.0,11.6,-5.4,77.2,12.5,-4.5,,0.0,False,
Jamal Murray,DEN,PRA,UNDER,36.5,31.1,-5.4,77.2,34.4,-2.1,,0.0,False,
Aaron Gordon,DEN,PRA,OVER,22.75,27.6,4.9,75.3,24.2,1.4,,0.0,False,
Justin Edwards,PHI,PTS,UNDER,11.0,6.4,-4.6,74.4,7.2,-3.8,,0.0,False,
Keldon Johnson,SAS,PTS,UNDER,13.5,9.3,-4.2,72.9,9.4,-4.1,,0.0,False,
Harrison Barnes,SAS,PTS,UNDER,11.5,7.4,-4.1,72.5,8.0,-3.5,,0.0,False,
Keldon Johnson,SAS,PR,UNDER,17.5,13.7,-3.8,71.3,14.0,-3.5,,0.0,False,
Jamal Murray,DEN,PA,UNDER,31.0,27.2,-3.8,71.3,31.0,,,0.0,False,
Nique Clifford,SAC,PA,OVER,13.0,16.6,3.6,70.4,17.3,4.3,,0.0,False,
Nique Clifford,SAC,PRA,OVER,18.5,21.7,3.2,68.7,22.8,4.3,,0.0,False,
VJ Edgecombe,PHI,PRA,UNDER,27.5,24.3,-3.2,68.7,26.3,-1.2,,0.0,False,
VJ Edgecombe,PHI,PA,UNDER,21.5,18.4,-3.1,68.2,20.4,-1.1,,0.0,False,
Stephon Castle,SAS,PRA,UNDER,34.5,31.6,-2.9,67.3,28.9,-5.6,,0.0,False,
Harrison Barnes,SAS,PR,UNDER,12.75,10.0,-2.8,66.6,10.8,-1.9,,0.0,False,
Nique Clifford,SAC,PR,OVER,15.0,17.8,2.8,66.8,18.7,3.7,,0.0,False,
Malik Monk,SAC,PA,OVER,14.5,17.3,2.8,66.8,18.0,3.5,,0.0,False,
Christian Braun,DEN,PRA,OVER,18.5,21.3,2.8,66.8,21.9,3.4,,0.0,False,
Russell Westbrook,SAC,PTS,OVER,14.0,16.8,2.8,66.8,16.4,2.4,,0.0,False,
Malik Monk,SAC,PR,OVER,13.5,16.2,2.7,66.3,16.4,2.9,,0.0,False,
Dominick Barlow,PHI,PTS,UNDER,11.25,8.6,-2.7,66.1,7.4,-3.8,,0.0,False,
Nikola Jokić,DEN,PRA,UNDER,54.5,51.9,-2.6,65.8,53.2,-1.3,,0.0,False,
Malik Monk,SAC,PTS,OVER,11.5,14.0,2.5,65.3,14.7,3.2,,0.0,False,
Malik Monk,SAC,PRA,OVER,17.0,19.5,2.5,65.3,19.7,2.7,,0.0,False,
VJ Edgecombe,PHI,PR,UNDER,23.5,21.1,-2.4,64.8,23.5,,,0.0,False,
Julian Champagnie,SAS,PA,UNDER,13.5,11.2,-2.3,64.3,13.2,-0.3,,0.0,False,
Christian Braun,DEN,PTS,OVER,10.5,12.8,2.3,64.3,12.9,2.4,,0.0,False,
Christian Braun,DEN,PA,OVER,13.5,15.7,2.2,63.8,15.6,2.1,,0.0,False,
Dylan Harper,SAS,PA,UNDER,16.5,14.3,-2.2,63.8,16.1,-0.4,,0.0,False,
Cameron Johnson,DEN,PR,OVER,13.0,15.2,2.2,63.8,14.9,1.9,,0.0,False,
Justin Edwards,PHI,AST,UNDER,4.0,1.8,-2.2,63.8,2.0,-2.0,,0.0,False,
Nikola Jokić,DEN,PA,UNDER,41.0,38.8,-2.2,63.8,39.2,-1.8,,0.0,False,
Victor Wembanyama,SAS,PRA,UNDER,42.0,39.9,-2.1,63.2,39.0,-3.0,,0.0,False,
Victor Wembanyama,SAS,PTS,UNDER,27.25,25.2,-2.1,63.0,24.5,-2.8,,0.0,False,
Nikola Jokić,DEN,PTS,UNDER,30.0,28.0,-2.0,62.7,29.0,-1.0,,0.0,False,
Cameron Payne,PHI,PA,UNDER,14.0,12.0,-2.0,62.7,11.7,-2.3,,0.0,False,
Dominick Barlow,PHI,PRA,UNDER,16.5,14.6,-1.9,62.2,11.9,-4.6,,0.0,False,
Russell Westbrook,SAC,PR,UNDER,22.75,20.9,-1.9,61.9,20.2,-2.6,,0.0,False,
Christian Braun,DEN,PR,OVER,16.5,18.4,1.9,62.2,19.2,2.7,,0.0,False,
Dylan Harper,SAS,PRA,UNDER,19.5,17.6,-1.9,62.2,19.1,-0.4,,0.0,False,
Cameron Johnson,DEN,PA,OVER,12.0,13.8,1.8,61.6,13.5,1.5,,0.0,False,
Aaron Gordon,DEN,TRB,OVER,5.25,7.1,1.8,61.9,6.1,0.8,,0.0,False,
Trendon Watford,PHI,PRA,UNDER,16.5,14.8,-1.7,61.0,13.4,-3.1,,0.0,False,
Nique Clifford,SAC,PTS,OVER,11.0,12.7,1.7,61.0,13.2,2.2,,0.0,False,
Dominick Barlow,PHI,PA,UNDER,11.5,9.8,-1.7,61.0,8.2,-3.3,,0.0,False,
Dylan Harper,SAS,TRB,UNDER,5.0,3.3,-1.7,61.0,3.0,-2.0,,0.0,False,
Victor Wembanyama,SAS,PR,UNDER,38.0,36.3,-1.7,61.0,35.6,-2.4,,0.0,False,
Cameron Payne,PHI,PTS,UNDER,10.75,9.2,-1.6,60.2,8.9,-1.8,,0.0,False,
Keldon Johnson,SAS,PRA,UNDER,16.5,14.9,-1.6,60.5,14.9,-1.6,,0.0,False,
De'Aaron Fox,SAS,TRB,UNDER,5.0,3.5,-1.5,59.9,3.2,-1.8,,0.0,False,
