game_date,slip_type,wager,potential_payout,joint_prob_raw,estimated_correlation,joint_prob_adj,break_even_joint_prob,ev_per_unit,ev_dollar,result,actual_payout,Pick_1_Player,Pick_1_Prop,Pick_1_Dir,Pick_1_Line,Pick_2_Player,Pick_2_Prop,Pick_2_Dir,Pick_2_Line,Pick_3_Player,Pick_3_Prop,Pick_3_Dir,Pick_3_Line,Pick_4_Player,Pick_4_Prop,Pick_4_Dir,Pick_4_Line,effective_legs,eligible_picks
2026-03-29,2-pick UNDER-Only Backtest,20.0,60.0,0.6368,0.0,0.6368,0.3333,0.9104,18.21,WIN,40.0,Jericho Sims,TRB,UNDER,9.0,Derrick White,AST,UNDER,6.5,,,,,,,,,1,6
2026-03-29,3-pick UNDER-Only Backtest,20.0,100.0,0.4916,0.0,0.4916,0.2,1.458,29.16,WIN,60.0,Jericho Sims,TRB,UNDER,9.0,Derrick White,AST,UNDER,6.5,Devin Carter,AST,UNDER,5.5,,,,,2,6
2026-03-31,2-pick UNDER-Only Backtest,20.0,60.0,0.6002,0.0,0.6002,0.3333,0.8007,16.01,WIN,60.0,Ausar Thompson,TRB,UNDER,8.0,Donovan Mitchell,AST,UNDER,7.0,,,,,,,,,2,4
2026-03-31,3-pick UNDER-Only Backtest,20.0,100.0,0.4442,0.0,0.4442,0.2,1.2208,24.42,WIN,100.0,Ausar Thompson,TRB,UNDER,8.0,Donovan Mitchell,AST,UNDER,7.0,Ja'Kobe Walter,TRB,UNDER,5.0,,,,,3,4
2026-04-03,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.0,0.9801,0.3333,1.9403,38.81,LOSS,0.0,Daniel Gafford,BLK,UNDER,1.5,Onyeka Okongwu,BLK,UNDER,1.5,,,,,,,,,2,10
2026-04-03,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.0,0.9703,0.2,3.8515,77.03,LOSS,0.0,Daniel Gafford,BLK,UNDER,1.5,Onyeka Okongwu,BLK,UNDER,1.5,Neemias Queta,BLK,UNDER,1.5,,,,,3,10
2026-04-05,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.0,0.9801,0.3333,1.9403,38.81,WIN,60.0,Jay Huff,BLK,UNDER,1.5,Amen Thompson,STL,UNDER,2.5,,,,,,,,,2,5
2026-04-05,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.0,0.9703,0.2,3.8515,77.03,WIN,100.0,Jay Huff,BLK,UNDER,1.5,Amen Thompson,STL,UNDER,2.5,Cody Williams,BLK,UNDER,1.0,,,,,3,5
2026-04-06,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.0,0.9801,0.3333,1.9403,38.81,WIN,40.0,Jalen Suggs,BLK,UNDER,1.5,Ousmane Dieng,BLK,UNDER,1.0,,,,,,,,,1,3
2026-04-06,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.0,0.9703,0.2,3.8515,77.03,WIN,40.0,Jalen Suggs,BLK,UNDER,1.5,Ousmane Dieng,BLK,UNDER,1.0,Kawhi Leonard,STL,UNDER,2.5,,,,,1,3
2026-04-07,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.0,0.9801,0.3333,1.9403,38.81,LOSS,0.0,Kyle Anderson,AST,UNDER,4.0,Derik Queen,BLK,UNDER,1.5,,,,,,,,,2,3
2026-04-07,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.0,0.9703,0.2,3.8515,77.03,LOSS,0.0,Kyle Anderson,AST,UNDER,4.0,Derik Queen,BLK,UNDER,1.5,Ousmane Dieng,BLK,UNDER,1.0,,,,,3,3
2026-04-08,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.0,0.9801,0.3333,1.9403,38.81,WIN,60.0,Scoot Henderson,AST,UNDER,4.5,Jalen Suggs,STL,UNDER,2.5,,,,,,,,,2,5
2026-04-08,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.0,0.9703,0.2,3.8515,77.03,WIN,100.0,Scoot Henderson,AST,UNDER,4.5,Jalen Suggs,STL,UNDER,2.5,Duncan Robinson,STL,UNDER,1.5,,,,,3,5
2026-04-09,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.35,0.9836,0.3333,1.9507,39.01,LOSS,0.0,Quenton Jackson,AST,UNDER,5.5,Jay Huff,TRB,UNDER,6.0,,,,,,,,,2,5
2026-04-09,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.117,0.9727,0.2,3.8637,77.27,LOSS,0.0,Brandin Podziemski,AST,UNDER,5.5,Quenton Jackson,AST,UNDER,5.5,Jay Huff,TRB,UNDER,6.0,,,,,3,5
2026-04-10,2-pick UNDER-Only Backtest,20.0,60.0,0.9801,0.35,0.9836,0.3333,1.9507,39.01,LOSS,0.0,Darius Garland,AST,UNDER,7.5,Kawhi Leonard,AST,UNDER,4.5,,,,,,,,,2,5
2026-04-10,3-pick UNDER-Only Backtest,20.0,100.0,0.9703,0.117,0.9737,0.2,3.8686,77.37,LOSS,0.0,Darius Garland,AST,UNDER,7.5,Kawhi Leonard,AST,UNDER,4.5,Nique Clifford,AST,UNDER,5.5,,,,,3,5
