player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Aaron Wiggins,OKC,HOU,W,20.53333333333333,4,8,0.5,2,5,0.4,0,0,0.0,0,1,1,1,0,0,1,1,10,5.6,2025-10-21,20251021_Aaron_Wiggins_OKC_HOU,20251021_HOU_OKC,,1
Ajay Mitchell,OKC,HOU,W,14.595,6,12,0.5,3,6,0.5,1,1,1.0,1,1,2,2,0,1,0,2,16,12.3,2025-10-21,20251021_Ajay_Mitchell_OKC_HOU,20251021_HOU_OKC,,1
Al Horford,GSW,LAL,W,20.246666666666663,2,7,0.286,1,4,0.25,0,0,0.0,0,5,5,1,0,0,2,4,5,-0.4999999999999995,2025-10-21,20251021_Al_Horford_GSW_LAL,20251021_GSW_LAL,,1
Alex Caruso,OKC,HOU,W,30.18,3,9,0.333,2,6,0.333,0,0,0.0,0,2,2,3,2,1,0,2,8,7.499999999999999,2025-10-21,20251021_Alex_Caruso_OKC_HOU,20251021_HOU_OKC,,1
Alperen Sengun,HOU,OKC,L,48.89,12,24,0.5,5,8,0.625,10,11,0.909,4,7,11,7,2,1,4,5,39,33.1,2025-10-21,20251021_Alperen_Sengun_HOU_OKC,20251021_HOU_OKC,,0
Amen Thompson,HOU,OKC,L,38.60666666666667,8,17,0.471,0,7,0.0,2,2,1.0,2,2,4,5,1,1,4,3,18,11.3,2025-10-21,20251021_Amen_Thompson_HOU_OKC,20251021_HOU_OKC,,0
Austin Reaves,LAL,GSW,L,36.333333333333336,9,16,0.563,1,5,0.2,7,10,0.7,1,4,5,9,2,0,5,5,26,20.4,2025-10-21,20251021_Austin_Reaves_LAL_GSW,20251021_GSW_LAL,,0
Brandin Podziemski,GSW,LAL,W,32.53,3,7,0.429,1,4,0.25,0,0,0.0,1,6,7,2,1,0,1,2,7,6.4,2025-10-21,20251021_Brandin_Podziemski_GSW_LAL,20251021_GSW_LAL,,1
Brooks Barnhizer,OKC,HOU,W,2.256666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-10-21,20251021_Brooks_Barnhizer_OKC_HOU,20251021_HOU_OKC,,1
Buddy Hield,GSW,LAL,W,22.25,6,11,0.545,5,10,0.5,0,0,0.0,0,1,1,0,1,0,2,0,17,11.0,2025-10-21,20251021_Buddy_Hield_GSW_LAL,20251021_GSW_LAL,,1
Cason Wallace,OKC,HOU,W,41.65,5,10,0.5,3,8,0.375,1,2,0.5,1,6,7,5,4,0,2,3,14,15.4,2025-10-21,20251021_Cason_Wallace_OKC_HOU,20251021_HOU_OKC,,1
