player,prop,line,over_odds,under_odds,book
Aaron Nesmith,ast,2.5,150,-185,Best Available
Aaron Nesmith,blk,0.5,130,-185,Best Available
Aaron Nesmith,pa,17.5,-105,-118,Best Available
Aaron Nesmith,pr,20.5,-104,-118,Best Available
Aaron Nesmith,pra,22.5,-102,-110,Best Available
Aaron Nesmith,pts,14.5,-113,100,Best Available
Aaron Nesmith,trb,4.5,-150,122,Best Available
Ace Bailey,pa,16.5,-115,-115,Best Available
Ace Bailey,pr,17.5,-110,-120,Best Available
Ace Bailey,pra,21.5,-135,105,Best Available
Ace Bailey,pts,11.5,-122,110,Best Available
Ace Bailey,stl,0.5,280,-395,Best Available
Ace Bailey,trb,4.5,-215,158,Best Available
Andrew Nembhard,ast,7.5,-105,-114,Best Available
Andrew Nembhard,blk,0.5,375,-650,Best Available
Andrew Nembhard,pa,24.5,-123,110,Best Available
Andrew Nembhard,pr,20.5,-104,-105,Best Available
Andrew Nembhard,pra,28.5,-102,-120,Best Available
Andrew Nembhard,pts,16.5,-120,105,Best Available
Andrew Nembhard,trb,2.5,-145,122,Best Available
Anfernee Simons,ast,2.5,101,-113,Best Available
Anfernee Simons,pa,16.5,-109,-108,Best Available
Anfernee Simons,pr,16.5,-109,-113,Best Available
Anfernee Simons,pra,18.5,-115,-107,Best Available
Anfernee Simons,pts,13.5,-115,-102,Best Available
Anfernee Simons,trb,2.5,115,-149,Best Available
Ausar Thompson,ast,2.5,145,-160,Best Available
Ausar Thompson,blk,0.5,105,-145,Best Available
Ausar Thompson,pa,11.5,-110,-102,Best Available
Ausar Thompson,pr,14.5,-115,-104,Best Available
Ausar Thompson,pra,17.5,105,-122,Best Available
Ausar Thompson,pts,9.5,-105,-115,Best Available
Ausar Thompson,stl,1.5,162,-189,Best Available
Ausar Thompson,trb,5.5,112,-135,Best Available
Cade Cunningham,ast,9.5,-111,-104,Best Available
Cade Cunningham,blk,0.5,125,-175,Best Available
Cade Cunningham,pa,34.5,-111,-110,Best Available
Cade Cunningham,pr,30.5,-108,-113,Best Available
Cade Cunningham,pra,40.5,-104,-120,Best Available
Cade Cunningham,pts,24.5,-110,-104,Best Available
Cade Cunningham,stl,1.5,147,-186,Best Available
Cade Cunningham,trb,5.5,100,-115,Best Available
Caris LeVert,ast,2.5,-105,-125,Best Available
Caris LeVert,pra,9.5,-125,-105,Best Available
Caris LeVert,pts,6.5,104,-128,Best Available
Caris LeVert,trb,1.5,100,-135,Best Available
Collin Gillespie,ast,4.5,114,-130,Best Available
Collin Gillespie,blk,0.5,320,-525,Best Available
Collin Gillespie,pa,15.5,-102,-125,Best Available
Collin Gillespie,pr,14.5,-105,-113,Best Available
Collin Gillespie,pra,18.5,-123,102,Best Available
Collin Gillespie,pts,10.5,-112,-104,Best Available
Collin Gillespie,stl,1.5,162,-203,Best Available
Collin Gillespie,trb,3.5,-118,100,Best Available
Cooper Flagg,pts,19.5,-130,100,Best Available
Danny Wolf,ast,2.5,131,-164,Best Available
Danny Wolf,pa,10.5,101,-133,Best Available
Danny Wolf,pr,13.5,-106,-124,Best Available
Danny Wolf,pra,15.5,100,-114,Best Available
Danny Wolf,pts,7.5,-118,-105,Best Available
Danny Wolf,trb,5.5,115,-138,Best Available
De'Aaron Fox,ast,7.5,-108,100,Best Available
De'Aaron Fox,pa,25.5,-110,-120,Best Available
De'Aaron Fox,pr,21.5,-125,-105,Best Available
De'Aaron Fox,pra,29.5,-120,-110,Best Available
De'Aaron Fox,pts,17.5,-108,-115,Best Available
De'Aaron Fox,stl,3.5,150,-195,Best Available
De'Aaron Fox,trb,3.5,-220,162,Best Available
Derrick White,ast,4.5,-154,120,Best Available
Derrick White,blk,1.5,100,-112,Best Available
Derrick White,pa,22.5,-120,110,Best Available
Derrick White,pr,21.5,-125,115,Best Available
Derrick White,pra,27.5,-102,-105,Best Available
Derrick White,pts,17.5,-110,115,Best Available
Derrick White,stl,1.5,148,-171,Best Available
Derrick White,trb,4.5,130,-135,Best Available
Devin Booker,ast,6.5,100,-116,Best Available
Devin Booker,blk,0.5,280,-450,Best Available
Devin Booker,pa,30.5,-102,-115,Best Available
Devin Booker,pr,27.5,-111,-110,Best Available
Devin Booker,pra,34.5,100,-115,Best Available
Devin Booker,pts,23.5,-109,-105,Best Available
Devin Booker,stl,0.5,-210,154,Best Available
Devin Booker,trb,3.5,-125,117,Best Available
Dillon Brooks,ast,1.5,-120,107,Best Available
Dillon Brooks,blk,0.5,450,-900,Best Available
Dillon Brooks,pa,19.5,-110,-112,Best Available
Dillon Brooks,pr,21.5,-106,-113,Best Available
Dillon Brooks,pra,23.5,-106,-115,Best Available
Dillon Brooks,pts,17.5,-117,104,Best Available
Dillon Brooks,trb,3.5,102,-125,Best Available
Drake Powell,ast,2.5,140,-159,Best Available
Drake Powell,blk,0.5,325,-525,Best Available
Drake Powell,pa,10.5,100,-122,Best Available
Drake Powell,pr,10.5,-110,-103,Best Available
Drake Powell,pra,13.5,-106,-120,Best Available
Drake Powell,pts,7.5,-120,105,Best Available
Drake Powell,trb,2.5,-106,-103,Best Available
Duncan Robinson,ast,1.5,110,-120,Best Available
Duncan Robinson,blk,0.5,310,-500,Best Available
Duncan Robinson,pa,11.5,-115,-110,Best Available
Duncan Robinson,pr,12.5,-105,-115,Best Available
Duncan Robinson,pra,13.5,-120,110,Best Available
Duncan Robinson,pts,9.5,-114,100,Best Available
Duncan Robinson,trb,2.5,140,-145,Best Available
Dylan Harper,ast,3.5,-122,-108,Best Available
Dylan Harper,pts,11.5,-102,-130,Best Available
Dylan Harper,trb,2.5,104,-138,Best Available
Grayson Allen,ast,2.5,-105,-108,Best Available
Grayson Allen,pa,16.5,105,-112,Best Available
Grayson Allen,pr,16.5,100,-106,Best Available
Grayson Allen,pra,19.5,105,-111,Best Available
Grayson Allen,pts,13.5,-105,-102,Best Available
Grayson Allen,trb,2.5,-122,108,Best Available
Harrison Barnes,pts,12.5,-112,-118,Best Available
Harrison Barnes,trb,1.5,-128,-104,Best Available
Isaiah Collier,ast,3.5,-154,116,Best Available
Isaiah Collier,pts,9.5,-120,-110,Best Available
Isaiah Stewart II,ast,0.5,-175,130,Best Available
Isaiah Stewart II,pr,13.5,-110,-108,Best Available
Isaiah Stewart II,pra,14.5,-125,-105,Best Available
Isaiah Stewart II,pts,8.5,105,-128,Best Available
Isaiah Stewart II,trb,5.5,110,-130,Best Available
Jaden Ivey,ast,2.5,152,-200,Best Available
Jaden Ivey,pts,8.5,-111,-105,Best Available
Jalen Brunson,pts,24.5,-130,-102,Best Available
