date,locked_time,player,prop,bet_direction,vegas_line,prediction,edge,edge_abs,confidence,odds,actual,result,profit
2026-01-19,2026-01-19 18:14:12,Cade Cunningham,Pts+Reb,OVER,30.0,38.9,8.9,8.9,HIGH,-108,,,
2026-01-19,2026-01-19 18:14:12,Joel Embiid,Pts+Reb+Ast,UNDER,39.5,32.4,-7.1,7.1,HIGH,130,,,
2026-01-19,2026-01-19 18:14:12,Cade Cunningham,Pts+Reb+Ast,OVER,40.0,46.2,6.2,6.2,HIGH,110,,,
2026-01-19,2026-01-19 18:14:12,Brandin Podziemski,Pts+Reb+Ast,UNDER,20.0,14.3,-5.7,5.7,HIGH,165,,,
2026-01-19,2026-01-19 18:14:12,Jalen Duren,Pts+Reb+Ast,UNDER,27.5,21.9,-5.6,5.6,HIGH,135,,,
2026-01-19,2026-01-19 18:14:12,Joel Embiid,Pts+Reb,UNDER,35.7,30.3,-5.4,5.4,HIGH,110,,,
2026-01-19,2026-01-19 18:14:12,Cade Cunningham,Points,OVER,24.5,29.8,5.3,5.3,HIGH,205,,,
2026-01-19,2026-01-19 18:14:12,Jalen Duren,Pts+Reb,UNDER,25.5,20.4,-5.1,5.1,HIGH,115,,,
2026-01-19,2026-01-19 18:14:12,Gary Payton II,Pts+Reb+Ast,UNDER,14.5,9.4,-5.1,5.1,HIGH,-110,,,
2026-01-19,2026-01-19 18:14:12,Joel Embiid,Points,UNDER,27.4,23.0,-4.4,4.4,MED,175,,,
2026-01-19,2026-01-19 18:14:12,Ausar Thompson,Pts+Reb+Ast,OVER,16.8,20.7,3.9,3.9,MED,120,,,
2026-01-19,2026-01-19 18:14:12,Cade Cunningham,Pts+Ast,OVER,34.0,37.7,3.7,3.7,MED,-110,,,
2026-01-19,2026-01-19 18:14:12,Jay Huff,Pts+Reb+Ast,UNDER,15.8,12.2,-3.6,3.6,MED,160,,,
2026-01-19,2026-01-19 18:14:12,Pascal Siakam,Pts+Reb+Ast,UNDER,34.3,30.8,-3.5,3.5,MED,140,,,
2026-01-19,2026-01-19 18:14:12,Derrick White,Points,OVER,17.8,21.1,3.3,3.3,MED,185,,,
2026-01-19,2026-01-19 18:14:12,Joel Embiid,Pts+Ast,UNDER,30.8,27.7,-3.1,3.1,MED,120,,,
2026-01-19,2026-01-19 18:14:12,T.J. McConnell,Pts+Ast,UNDER,14.0,10.9,-3.1,3.1,MED,-106,,,
