player,market,line,over_odds,under_odds,num_books
Aaron Gordon,player_assists,3.6,155,105,7
Aaron Gordon,player_blocks,0.5,250,-375,1
Aaron Gordon,player_points,18.2,185,210,8
Aaron Gordon,player_points_assists,21.7,-105,125,4
Aaron Gordon,player_points_rebounds,25.5,105,105,4
Aaron Gordon,player_points_rebounds_assists,29.2,120,125,6
Aaron Gordon,player_rebounds,6.7,190,205,7
Ace Bailey,player_assists,1.5,110,-130,4
Ace Bailey,player_blocks,0.5,130,-185,1
Ace Bailey,player_points,12.9,170,185,7
Ace Bailey,player_points_assists,15.2,-112,-114,3
Ace Bailey,player_points_rebounds,17.3,110,115,4
Ace Bailey,player_points_rebounds_assists,19.2,-115,-105,4
Ace Bailey,player_rebounds,4.0,125,130,7
Adem Bona,player_points,5.5,200,200,2
Adem Bona,player_points_rebounds,11.0,115,120,2
Adem Bona,player_rebounds,5.5,200,130,3
Alperen Sengun,player_assists,6.4,126,110,7
Alperen Sengun,player_blocks,0.5,-185,151,3
Alperen Sengun,player_points,20.3,180,190,8
Alperen Sengun,player_points_assists,26.5,105,105,4
Alperen Sengun,player_points_rebounds,29.5,-105,115,4
Alperen Sengun,player_points_rebounds_assists,35.2,115,125,6
Alperen Sengun,player_rebounds,9.2,175,185,8
Alperen Sengun,player_steals,1.5,162,-194,3
Amen Thompson,player_assists,5.1,125,120,7
Amen Thompson,player_blocks,0.5,135,-190,1
Amen Thompson,player_points,17.1,180,180,7
Amen Thompson,player_points_assists,22.3,110,110,4
Amen Thompson,player_points_rebounds,24.5,105,110,4
Amen Thompson,player_points_rebounds_assists,29.7,120,130,6
Amen Thompson,player_rebounds,7.2,110,215,7
Amen Thompson,player_steals,1.5,138,-170,3
Andre Drummond,player_assists,0.5,-110,-120,1
Andre Drummond,player_blocks,0.5,100,-140,1
Andre Drummond,player_points,7.8,108,-105,4
Andre Drummond,player_points_assists,7.5,-115,-115,1
Andre Drummond,player_points_rebounds,15.5,-115,-118,1
Andre Drummond,player_points_rebounds_assists,16.5,-105,-125,1
Andre Drummond,player_rebounds,8.5,106,-135,5
Andrew Wiggins,player_assists,2.5,-130,108,6
Andrew Wiggins,player_blocks,0.5,-200,140,1
Andrew Wiggins,player_points,16.4,180,180,7
Andrew Wiggins,player_points_assists,19.1,105,115,3
Andrew Wiggins,player_points_rebounds,21.3,110,110,4
Andrew Wiggins,player_points_rebounds_assists,24.2,120,135,6
Andrew Wiggins,player_rebounds,5.0,130,118,7
Anthony Edwards,player_assists,4.2,130,135,7
Anthony Edwards,player_blocks,0.5,-160,115,1
Anthony Edwards,player_points,30.8,205,185,6
Anthony Edwards,player_points_assists,34.8,100,110,4
Anthony Edwards,player_points_rebounds,35.8,100,110,4
Anthony Edwards,player_points_rebounds_assists,39.9,123,135,5
Anthony Edwards,player_rebounds,5.4,205,125,7
Anthony Edwards,player_steals,1.5,116,-151,2
Ayo Dosunmu,player_assists,3.5,142,-165,5
Ayo Dosunmu,player_points,10.8,210,155,7
Ayo Dosunmu,player_points_assists,13.5,105,125,3
Ayo Dosunmu,player_points_rebounds_assists,16.2,-110,-104,3
Ayo Dosunmu,player_rebounds,2.5,-110,-118,1
Bam Adebayo,player_assists,3.5,205,190,7
Bam Adebayo,player_blocks,0.5,-175,125,1
Bam Adebayo,player_points,18.3,175,170,7
Bam Adebayo,player_points_assists,21.7,-104,120,4
Bam Adebayo,player_points_rebounds,28.2,-108,120,4
Bam Adebayo,player_points_rebounds_assists,32.0,112,135,6
Bam Adebayo,player_rebounds,10.3,180,170,7
Brandin Podziemski,player_assists,3.6,155,105,6
Brandin Podziemski,player_points,13.1,175,215,6
Brandin Podziemski,player_points_assists,17.1,105,115,3
Brandin Podziemski,player_points_rebounds,18.3,-102,135,3
Brandin Podziemski,player_points_rebounds_assists,22.1,110,160,5
Brandin Podziemski,player_rebounds,5.5,170,150,6
Brandon Ingram,player_assists,3.6,155,114,7
Brandon Ingram,player_blocks,0.5,-130,-105,1
Brandon Ingram,player_points,23.2,185,175,7
Brandon Ingram,player_points_assists,27.0,100,110,4
Brandon Ingram,player_points_rebounds,29.2,100,110,4
Brandon Ingram,player_points_rebounds_assists,33.2,110,135,6
Brandon Ingram,player_rebounds,6.4,200,115,7
Brice Sensabaugh,player_points,17.5,175,175,1
Brice Sensabaugh,player_points_rebounds,20.5,-110,130,1
Brice Sensabaugh,player_rebounds,4.0,125,125,1
Brook Lopez,player_assists,0.5,-210,155,1
Brook Lopez,player_points,7.0,205,165,7
Brook Lopez,player_points_rebounds,8.9,100,150,3
Brook Lopez,player_points_rebounds_assists,11.0,-105,-108,2
Brook Lopez,player_rebounds,2.6,185,-104,6
Buddy Hield,player_assists,1.5,-125,-105,1
Buddy Hield,player_points,9.2,-104,-120,4
Buddy Hield,player_points_rebounds,12.5,-114,-116,1
Buddy Hield,player_points_rebounds_assists,14.0,-105,-114,2
Buddy Hield,player_rebounds,3.5,128,-145,3
Cam Christie,player_assists,1.5,135,-185,1
Cam Christie,player_points,6.5,-106,105,5
Cam Christie,player_points_rebounds_assists,11.5,102,-110,2
Cam Christie,player_rebounds,2.7,140,114,5
Clint Capela,player_assists,0.5,-110,-120,1
Clint Capela,player_points,3.8,115,100,3
Clint Capela,player_points_rebounds,9.0,-116,-106,2
Clint Capela,player_points_rebounds_assists,9.8,-105,-115,3
Clint Capela,player_rebounds,4.9,205,125,6
Coby White,player_assists,4.4,118,145,7
Coby White,player_blocks,0.5,425,-750,1
Coby White,player_points,18.2,205,190,7
Coby White,player_points_assists,22.0,-105,120,4
Coby White,player_points_rebounds,21.0,-110,130,4
Coby White,player_points_rebounds_assists,25.5,120,150,6
Coby White,player_rebounds,3.4,120,150,6
Cody Williams,player_assists,1.5,180,-250,1
Cody Williams,player_blocks,0.5,160,-225,1
Cody Williams,player_points,8.4,104,107,6
Cody Williams,player_points_assists,9.5,-105,-125,1
Cody Williams,player_points_rebounds,12.0,-105,-107,2
Cody Williams,player_points_rebounds_assists,13.5,-110,-125,1
Cody Williams,player_rebounds,3.5,-107,105,5
Collin Gillespie,player_assists,4.1,120,130,5
Collin Gillespie,player_blocks,0.5,260,-400,1
Collin Gillespie,player_points,10.3,-110,-105,5
Collin Gillespie,player_points_assists,14.8,-102,-108,3
Collin Gillespie,player_points_rebounds,14.5,-115,-111,2
Collin Gillespie,player_points_rebounds_assists,18.2,-115,-103,4
Collin Gillespie,player_rebounds,3.5,-114,105,5
Davion Mitchell,player_assists,6.4,170,150,7
Davion Mitchell,player_blocks,0.5,375,-650,1
